"id";"uri";"nome";"idLegislaturaInicial";"idLegislaturaFinal";"nomeCivil";"cpf";"siglaSexo";"urlRedeSocial";"urlWebsite";"dataNascimento";"dataFalecimento";"ufNascimento";"municipioNascimento";"urlFoto";"escolaridade"
"220593";"https://dadosabertos.camara.leg.br/api/v2/deputados/220593";"Abilio Brunini";"57";"57";"ABILIO JACQUES BRUNINI MOUMER";"";"M";"";"";"1984-01-31";"";"MT";"Cuiabá";"https://www.camara.leg.br/internet/deputado/bandep/220593.jpg";"Superior"
"204379";"https://dadosabertos.camara.leg.br/api/v2/deputados/204379";"Acácio Favacho";"56";"57";"ACÁCIO DA SILVA FAVACHO NETO";"";"M";"https://twitter.com/acaciofavacho, https://www.facebook.com/deputadofederalacaciofavacho, https://youtube.com/channel/UCWNbptIjAriL2pt8H3W6CGw";"";"1983-09-28";"";"AP";"Macapá";"https://www.camara.leg.br/internet/deputado/bandep/204379.jpg";"Superior"
"220714";"https://dadosabertos.camara.leg.br/api/v2/deputados/220714";"Adail Filho";"57";"57";"ADAIL JOSÉ FIGUEIREDO PINHEIRO";"";"M";"https://www.instagram.com/adailfilho/, https://www.youtube.com/@AdailFilho, https://www.facebook.com/AdailFilhoAM, https://twitter.com/adailfilhoam?s=21&t=O_eoTX0q1QfS6vmySI7biQ";"";"1992-02-16";"";"AM";"Manaus";"https://www.camara.leg.br/internet/deputado/bandep/220714.jpg";"Superior Incompleto"
"221328";"https://dadosabertos.camara.leg.br/api/v2/deputados/221328";"Adilson Barroso";"57";"57";"ADILSON BARROSO OLIVEIRA";"";"M";"";"";"1964-06-14";"";"MG";"Minas Novas";"https://www.camara.leg.br/internet/deputado/bandep/221328.jpg";"Superior"
"204560";"https://dadosabertos.camara.leg.br/api/v2/deputados/204560";"Adolfo Viana";"56";"57";"ADOLFO VIANA DE CASTRO NETO";"";"M";"";"";"1981-02-02";"";"BA";"Salvador";"https://www.camara.leg.br/internet/deputado/bandep/204560.jpg";"Superior"
"204528";"https://dadosabertos.camara.leg.br/api/v2/deputados/204528";"Adriana Ventura";"56";"57";"ADRIANA MIGUEL VENTURA";"";"F";"https://twitter.com/adriventurasp, https://www.facebook.com/adriventurasp, https://www.instagram.com/adriventurasp, https://youtube.com/adrianaventura";"";"1969-03-06";"";"SP";"São Paulo";"https://www.camara.leg.br/internet/deputado/bandep/204528.jpg";"Doutorado"
"121948";"https://dadosabertos.camara.leg.br/api/v2/deputados/121948";"Adriano do Baldy";"56";"57";"ADRIANO ANTÔNIO AVELAR";"";"M";"https://www.instagram.com/adrianodobaldyoficial, https://twitter.com/adrianodobaldy, https://www.facebook.com/AdrianoDoBaldyOficial";"";"1969-09-06";"";"GO";"Goiás";"https://www.camara.leg.br/internet/deputado/bandep/121948.jpg";"Ensino Médio"
"74646";"https://dadosabertos.camara.leg.br/api/v2/deputados/74646";"Aécio Neves";"48";"57";"AÉCIO NEVES DA CUNHA";"";"M";"";"";"1960-03-10";"";"MG";"Belo Horizonte";"https://www.camara.leg.br/internet/deputado/bandep/74646.jpg";"Superior"
"160508";"https://dadosabertos.camara.leg.br/api/v2/deputados/160508";"Afonso Florence";"54";"57";"AFONSO BANDEIRA FLORENCE";"";"M";"";"";"1960-10-15";"";"BA";"Salvador";"https://www.camara.leg.br/internet/deputado/bandep/160508.jpg";"Mestrado"
"136811";"https://dadosabertos.camara.leg.br/api/v2/deputados/136811";"Afonso Hamm";"52";"57";"JOSÉ ALFONSO EBERT HAMM";"";"M";"https://www.facebook.com/depafonsohamm, https://www.instagram.com/afonsohamm";"";"1962-04-25";"";"RS";"Hulha Negra";"https://www.camara.leg.br/internet/deputado/bandep/136811.jpg";"Superior"
"178835";"https://dadosabertos.camara.leg.br/api/v2/deputados/178835";"Afonso Motta";"54";"57";"AFONSO ANTUNES DA MOTTA";"";"M";"";"";"1950-01-08";"";"RS";"Porto Alegre";"https://www.camara.leg.br/internet/deputado/bandep/178835.jpg";"Superior"
"160527";"https://dadosabertos.camara.leg.br/api/v2/deputados/160527";"Aguinaldo Ribeiro";"54";"57";"AGUINALDO VELLOSO BORGES RIBEIRO";"";"M";"https://www.instagram.com/depaguinaldoribeiro, https://www.facebook.com/depaguinaldoribeiro, https://twitter.com/depaguinaldo11";"";"1969-02-13";"";"PB";"Campina Grande";"https://www.camara.leg.br/internet/deputado/bandep/160527.jpg";"Pós-Graduação"
"204495";"https://dadosabertos.camara.leg.br/api/v2/deputados/204495";"Airton Faleiro";"56";"57";"AIRTON LUIZ FALEIRO";"";"M";"";"";"1959-03-16";"";"RS";"Tenente Portela";"https://www.camara.leg.br/internet/deputado/bandep/204495.jpg";"Ensino Fundamental"
"204549";"https://dadosabertos.camara.leg.br/api/v2/deputados/204549";"AJ Albuquerque";"56";"57";"ANTONIO JOSE AGUIAR ALBUQUERQUE";"";"M";"";"";"1983-09-26";"";"CE";"Fortaleza";"https://www.camara.leg.br/internet/deputado/bandep/204549.jpg";"Superior"
"73579";"https://dadosabertos.camara.leg.br/api/v2/deputados/73579";"Alberto Fraga";"51";"57";"JOÃO ALBERTO FRAGA SILVA";"";"M";"https://www.facebook.com/deputadoalbertofraga";"";"1956-06-02";"";"SE";"Estância";"https://www.camara.leg.br/internet/deputado/bandep/73579.jpg";"Superior"
"74696";"https://dadosabertos.camara.leg.br/api/v2/deputados/74696";"Alberto Mourão";"51";"57";"ALBERTO PEREIRA MOURÃO";"";"M";"https://www.facebook.com/mouraopg, https://twitter.com/albertomourao, https://www.instagram.com/albertopmourao";"";"1954-04-26";"";"SP";"São Paulo";"https://www.camara.leg.br/internet/deputado/bandep/74696.jpg";"Superior"
"220538";"https://dadosabertos.camara.leg.br/api/v2/deputados/220538";"Albuquerque";"57";"57";"JOSÉ FRANCISCO LOPES DE ALBUQUERQUE";"";"M";"";"";"1974-01-25";"";"CE";"Moraújo";"https://www.camara.leg.br/internet/deputado/bandep/220538.jpg";"Superior"
"160559";"https://dadosabertos.camara.leg.br/api/v2/deputados/160559";"Alceu Moreira";"54";"57";"ALCEU MOREIRA DA SILVA";"";"M";"http://twitter.com/alceu_moreira";"";"1954-06-04";"";"RS";"Osório";"https://www.camara.leg.br/internet/deputado/bandep/160559.jpg";"Superior Incompleto"
"204501";"https://dadosabertos.camara.leg.br/api/v2/deputados/204501";"Alencar Santana";"56";"57";"ALENCAR SANTANA BRAGA";"";"M";"https://twitter.com/AlencarBraga13, https://www.facebook.com/AlencarBraga13, https://www.instagram.com/AlencarBraga13, https://youtube.com/AlencarBraga13";"";"1976-03-14";"";"SP";"Guarulhos";"https://www.camara.leg.br/internet/deputado/bandep/204501.jpg";"Superior"
"178972";"https://dadosabertos.camara.leg.br/api/v2/deputados/178972";"Alex Manente";"55";"57";"ALEX SPINELLI MANENTE";"";"M";"https://twitter.com/AlexManente23, https://www.instagram.com/alexmanente/, https://www.facebook.com/alexmanente, https://youtube.com/c/AlexManenteOficial";"";"1979-08-22";"";"SP";"São Bernardo do Campo";"https://www.camara.leg.br/internet/deputado/bandep/178972.jpg";"Superior"
"204571";"https://dadosabertos.camara.leg.br/api/v2/deputados/204571";"Alex Santana";"56";"57";"ALEX MARCO SANTANA SOUSA";"";"M";"";"";"1972-06-22";"";"BA";"Salvador";"https://www.camara.leg.br/internet/deputado/bandep/204571.jpg";"Ensino Médio"
"220542";"https://dadosabertos.camara.leg.br/api/v2/deputados/220542";"Alexandre Guimarães";"57";"57";"JOSÉ ALEXANDRE DOMINGUES GUIMARÃES";"";"M";"";"";"1986-02-19";"";"TO";"Araguaína";"https://www.camara.leg.br/internet/deputado/bandep/220542.jpg";"Superior"
"160545";"https://dadosabertos.camara.leg.br/api/v2/deputados/160545";"Alexandre Leite";"54";"57";"ALEXANDRE LEITE DA SILVA";"";"M";"https://www.facebook.com/AlexandreLeote.SP, https://www.instagram.com/alexandreleite.sp, https://twitter.com/lexandreleite, https://youtube.com/depfedalexandreleite";"";"1989-04-18";"";"SP";"São Paulo";"https://www.camara.leg.br/internet/deputado/bandep/160545.jpg";"Superior"
"220554";"https://dadosabertos.camara.leg.br/api/v2/deputados/220554";"Alexandre Lindenmeyer";"57";"57";"ALEXANDRE DUARTE LINDENMEYER";"";"M";"";"";"1963-12-23";"";"RS";"Rio Grande";"https://www.camara.leg.br/internet/deputado/bandep/220554.jpg";"Superior"
"204503";"https://dadosabertos.camara.leg.br/api/v2/deputados/204503";"Alexandre Padilha";"56";"57";"ALEXANDRE ROCHA SANTOS PADILHA";"";"M";"https://twitter.com/padilhando, https://www.facebook.com/padilhando, https://www.instagram.com/padilhando, https://youtube.com/AlexandrePadilhaTV";"";"1971-09-14";"";"SP";"São Paulo";"https://www.camara.leg.br/internet/deputado/bandep/204503.jpg";"Doutorado"
"221148";"https://dadosabertos.camara.leg.br/api/v2/deputados/221148";"Alfredinho";"56";"57";"ALFREDO ALVES CAVALCANTE";"";"M";"https://www.instagram.com/Alfredinho.pt, https://twitter.com/ptalfredinho, https://www.facebook.com/Alfredinho";"";"1959-06-24";"";"PI";"Oeiras";"https://www.camara.leg.br/internet/deputado/bandep/221148.jpg";"Ensino Médio"
